"job_id","model","N","N_size","mni_location","mni_size","rho","loading_quality","target_loading","TT","J","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","sd.lambda","nrep","seed"
169,"mean","small",200,"loading","strong",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
170,"mean","medium",500,"loading","strong",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
171,"mean","large",800,"loading","strong",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
172,"mean","small",200,"loading","strong",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
173,"mean","medium",500,"loading","strong",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
174,"mean","large",800,"loading","strong",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
175,"mean","small",200,"loading","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
176,"mean","medium",500,"loading","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
177,"mean","large",800,"loading","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
178,"mean","small",200,"loading","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
179,"mean","medium",500,"loading","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
180,"mean","large",800,"loading","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
181,"mean","small",200,"loading","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
182,"mean","medium",500,"loading","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
183,"mean","large",800,"loading","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
184,"mean","small",200,"loading","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
185,"mean","medium",500,"loading","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
186,"mean","large",800,"loading","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
187,"mean","small",200,"loading","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
188,"mean","medium",500,"loading","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
189,"mean","large",800,"loading","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
190,"mean","small",200,"loading","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
191,"mean","medium",500,"loading","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
192,"mean","large",800,"loading","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
193,"mean","small",200,"loading","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
194,"mean","medium",500,"loading","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
195,"mean","large",800,"loading","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
196,"mean","small",200,"loading","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
197,"mean","medium",500,"loading","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
198,"mean","large",800,"loading","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
199,"mean","small",200,"none","none",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
200,"mean","medium",500,"none","none",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
201,"mean","large",800,"none","none",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
202,"mean","small",200,"none","none",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
203,"mean","medium",500,"none","none",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
204,"mean","large",800,"none","none",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
205,"mean","small",200,"none","none",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
206,"mean","medium",500,"none","none",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
207,"mean","large",800,"none","none",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
208,"mean","small",200,"none","none",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
209,"mean","medium",500,"none","none",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
210,"mean","large",800,"none","none",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
211,"mean","small",200,"none","none",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
212,"mean","medium",500,"none","none",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
213,"mean","large",800,"none","none",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
214,"mean","small",200,"none","none",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
215,"mean","medium",500,"none","none",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
216,"mean","large",800,"none","none",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
217,"mean","small",200,"residual","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
218,"mean","medium",500,"residual","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
219,"mean","large",800,"residual","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
220,"mean","small",200,"residual","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
221,"mean","medium",500,"residual","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
222,"mean","large",800,"residual","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
